nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,no,kecamatan,kelurahan
BAKSU (Bakmie & Katsu),"Jl. Timoho Bar. III No.38, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Mie,4.3,5,144.0,Rabu 09.00–21.00  | Kamis 09.00–21.00  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00,Rp 1–25.000,-7.057076,110.444335,0895-3605-97975,2,Tembalang,Bulusan
Bakmi Surabaya Cak Dul 2,"Jl. Mulawarman Selatan Raya No.18, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Mie,4.0,5,495.0,Rabu 07.30–23.30  | Kamis 07.30–23.30  | Jumat 07.30–23.30  | Sabtu 07.30–23.30  | Minggu 07.30–23.30  | Senin 07.30–23.30  | Selasa 07.30–23.30,Rp 1–25.000,-7.0682042,110.4372738,0821-3400-6730,3,Tembalang,Kramas
Bakmi Juned,"Jl. Sambiroto, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.7,5,158.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu Tutup  | Senin Tutup  | Selasa 17.00–00.00,Rp 1–25.000,-7.0240155,110.4587897,,5,Tembalang,Kedungmundu
"Bakmie Jowo ""Mas Anto""","Jl. Sinar Waluyo Utara, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,61.0,Rabu 17.30–00.00  | Kamis Tutup  | Jumat 17.30–00.00  | Sabtu 17.30–00.00  | Minggu 17.30–00.00  | Senin 17.30–00.00  | Selasa 17.30–00.00,,-7.0244593,110.4737553,0896-6801-4356,6,Tembalang,Kedungmundu
Bakmi Surabaya Cak Baron,"XFC9+768, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,27.0,Rabu 18.45–23.45  | Kamis 18.45–23.45  | Jumat 18.45–23.45  | Sabtu 18.45–23.45  | Minggu 18.45–23.45  | Senin 18.45–23.45  | Selasa 18.45–23.45,,-7.0293254,110.4680778,,8,Tembalang,Sendangmulyo
Bakmi Dan Nasi Goreng Cak Budi,"Jl. Kompol R. Sukamto, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Nasi Goreng,4.7,5,138.0,Rabu 12.00–00.00  | Kamis 12.00–00.00  | Jumat 12.00–00.00  | Sabtu 12.00–00.00  | Minggu 12.00–00.00  | Senin 12.00–00.00  | Selasa 12.00–00.00,Rp 1–25.000,-7.0349665,110.4578418,0877-0025-4333,9,Tembalang,Sambiroto
Bakmie Suroboyo,"XFHC+JFF, Jl. Mukharom, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.6,5,5.0,Rabu 12.00–22.00  | Kamis 12.00–22.00  | Jumat 12.00–22.00  | Sabtu 12.00–22.00  | Minggu 12.00–22.00  | Senin 12.00–22.00  | Selasa 12.00–22.00,,-7.0209261,110.4711605,,11,Tembalang,Kedungmundu
Bakmi Surabaya cak zun,"Jl. Kompol R. Soekanto, kota, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,44.0,Rabu 16.00–23.30  | Kamis 16.00–23.30  | Jumat 16.00–23.30  | Sabtu 16.00–23.30  | Minggu 16.00–23.30  | Senin 16.00–23.30  | Selasa 16.00–23.30,Rp 1–25.000,-7.0277046,110.459498,0857-1312-5010,12,Tembalang,Sambiroto
Bakmi Jowo Mas Agus,"XF69+X82, Jl. Gendong Raya, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,29.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0376188,110.468281,0819-0437-2937,13,Tembalang,Mangunharjo
Bakmie Pak Wi',"XFM8+HM8, Jl. Amposari Raya, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,44.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,Rp 1–25.000,-7.0160845,110.466717,0821-2831-6087,14,Tembalang,Kedungmundu
Bakmie Surabaya Mas Nopi,"Jl. Rogojembangan Raya No.147-151, Tandang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Mie,5.0,5,7.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.015127,110.4486258,0856-3258-158,15,Tembalang,Tandang
Bakmi Jowo Mas Agus,"Jl. Sambiroto Raya No.6, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.5,5,99.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00,,-7.0323598,110.45811,0858-0213-9915,16,Tembalang,Sambiroto
BAKMI JOWO KANG DOEL,"XFH4+HPR, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Mie,4.9,5,16.0,Rabu 15.30–23.30  | Kamis 15.30–23.30  | Jumat 15.30–23.30  | Sabtu 15.30–23.30  | Minggu 15.30–23.30  | Senin 15.30–23.30  | Selasa 15.30–23.30,,-7.0210026,110.4567797,0812-2556-0512,18,Tembalang,Kedungmundu
BAKMI JOWO GM GAJAH MAKMUR,"Jl. Gayamsari Selatan I No.47, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50248",Restoran,4.9,5,30.0,Rabu 10.00–02.00  | Kamis 10.00–02.00  | Jumat 10.00–02.00  | Sabtu 10.00–02.00  | Minggu 10.00–02.00  | Senin 10.00–02.00  | Selasa 10.00–02.00,Rp 1–25.000,-7.0073053,110.4488455,0823-2276-4326,19,Tembalang,Sendangguwo
PONDOK Bakmi Surabaya Cak DUL,"WFV7+478, Jl. Profesor Suharso, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Warung Makanan Kecil,3.9,5,14.0,Rabu 16.00–23.00  | Kamis 16.00–23.00  | Jumat 16.00–23.00  | Sabtu 16.00–23.00  | Minggu 16.00–23.00  | Senin 16.00–23.00  | Selasa 16.00–23.00,,-7.0572049,110.4631895,0813-2515-7257,23,Tembalang,Meteseh
"Bakmi Surabaya ""cak Pri""","Blok D No, Jl. Klipang Raya Blk. G No.6, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.1,5,82.0,Rabu 16.00–23.30  | Kamis 16.00–23.30  | Jumat 16.00–23.30  | Sabtu 16.00–23.30  | Minggu 16.00–23.30  | Senin 16.00–23.30  | Selasa 16.00–23.30,Rp 1–25.000,-7.0411434,110.4792524,0813-2559-2036,26,Tembalang,Sendangmulyo
